质量测试与时间测试(由于该数据集数量较小,因此时间是五次测试累加)单位是CLOCKS_PER_SEC
num      ans        time
17       1.587      30
25       1.525      21
29       1.503      22
49       1.316      19
73       1.327      25
97       1.106      18
197       1.33      34

时间测试,五次测试累加,单位是CLOCKS_PER_SEC
num      time
580      103
660      116
740      129
820      118
900      128
1532      215
2432      279
2532      289
5032      495
5064      438
7564      665
10064      878
15096      1317
25032      2185
50032      4297
75032      6515
